,species,genus,subfamily,family,order,Match,Maximum Possible
122,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,119,284
123,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,119,284
124,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,119,284
125,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,119,284
126,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,119,284
127,Myotis lucifugus,Myotis,,Vespertilionidae,Chiroptera,119,284
128,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,119,284
129,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,119,284
130,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,119,284
131,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,119,284
132,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,119,284
133,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,119,284
134,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,118,284
135,Manis pentadactyla,Manis,,Manidae,Pholidota,118,284
136,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,118,284
137,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,118,284
138,Propithecus coquereli,Propithecus,,Indriidae,Primates,118,284
139,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,118,284
140,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,118,284
141,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,118,284
142,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,118,284
143,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,118,284
144,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,118,284
145,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,118,284
146,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,118,284
147,Pan paniscus,Pan,Homininae,Hominidae,Primates,118,284
148,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,118,284
149,Myotis daubentonii,Myotis,,Vespertilionidae,Chiroptera,118,284
150,Carlito syrichta,Carlito,,Tarsiidae,Primates,118,284
