,species,genus,subfamily,family,order,Match,Maximum Possible
82,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,142,284
83,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,142,284
84,Pan paniscus,Pan,Homininae,Hominidae,Primates,142,284
85,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,142,284
86,Symphalangus syndactylus,Symphalangus,,Hylobatidae,Primates,141,284
87,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,141,284
88,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,141,284
89,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,141,284
90,Pongo abelii,Pongo,Ponginae,Hominidae,Primates,141,284
91,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,141,284
92,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,141,284
93,Equus caballus,Equus,,Equidae,Perissodactyla,141,284
94,Hylobates moloch,Hylobates,,Hylobatidae,Primates,141,284
95,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,140,284
96,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,140,284
97,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,140,284
98,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,140,284
99,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,140,284
100,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,140,284
101,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,139,284
102,Carlito syrichta,Carlito,,Tarsiidae,Primates,139,284
103,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,139,284
104,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,139,284
105,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,139,284
106,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,139,284
107,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,139,284
108,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,138,284
109,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,138,284
110,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,138,284
111,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,138,284
112,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,138,284
113,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera,138,284
114,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,138,284
115,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,138,284
116,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,138,284
117,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,138,284
118,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,138,284
119,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,138,284
120,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,138,284
121,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,137,284
122,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,137,284
123,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,137,284
124,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,137,284
125,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,137,284
126,Camelus ferus,Camelus,,Camelidae,Artiodactyla,137,284
127,Castor canadensis,Castor,,Castoridae,Rodentia,137,284
128,Dasypus novemcinctus,Dasypus,,Dasypodidae,Cingulata,137,284
129,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,136,284
130,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,136,284
131,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,136,284
132,Heterocephalus glaber,Heterocephalus,,Bathyergidae,Rodentia,136,284
133,Lemur catta,Lemur,,Lemuridae,Primates,136,284
134,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,136,284
135,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,135,284
136,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,135,284
