,species,genus,subfamily,family,order,Match,Maximum Possible
124,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,59,145
125,Sus scrofa,Sus,,Suidae,Artiodactyla,59,145
126,Octodon degus,Octodon,,Octodontidae,Rodentia,59,145
127,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,59,145
128,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,59,145
129,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera,59,145
130,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,59,145
131,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,58,145
132,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,58,145
133,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,58,145
134,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,58,145
135,Lemur catta,Lemur,,Lemuridae,Primates,58,145
136,Fukomys damarensis,Fukomys,,Bathyergidae,Rodentia,58,145
137,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,58,145
138,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,57,145
139,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,57,145
140,Propithecus coquereli,Propithecus,,Indriidae,Primates,57,145
141,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,57,145
142,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,57,145
143,Camelus ferus,Camelus,,Camelidae,Artiodactyla,57,145
144,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,57,145
145,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,57,145
146,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,57,145
147,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,57,145
148,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,57,145
149,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,57,145
150,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,57,145
151,Trichechus manatus latirostris,Trichechus,,Trichechidae,Sirenia,57,145
152,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,57,145
153,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,57,145
154,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,57,145
155,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,57,145
156,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,56,145
157,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,56,145
158,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,56,145
159,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,56,145
160,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,56,145
161,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,56,145
162,Castor canadensis,Castor,,Castoridae,Rodentia,56,145
163,Myotis lucifugus,Myotis,,Vespertilionidae,Chiroptera,56,145
164,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,55,145
165,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,55,145
166,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,55,145
167,Eptesicus fuscus,Eptesicus,,Vespertilionidae,Chiroptera,55,145
168,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,55,145
169,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,55,145
170,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,54,145
171,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,54,145
172,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,54,145
173,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,54,145
174,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,54,145
175,Myotis myotis,Myotis,,Vespertilionidae,Chiroptera,54,145
176,Molossus molossus,Molossus,,Molossidae,Chiroptera,54,145
177,Otolemur garnettii,Otolemur,,Galagidae,Primates,54,145
178,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,54,145
179,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,54,145
180,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,53,145
181,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,53,145
182,Mus caroli,Mus,Murinae,Muridae,Rodentia,53,145
183,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,53,145
184,Miniopterus natalensis,Miniopterus,,Miniopteridae,Chiroptera,53,145
185,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,53,145
186,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,53,145
187,Myotis daubentonii,Myotis,,Vespertilionidae,Chiroptera,53,145
188,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,53,145
189,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,53,145
190,Phocoena sinus,Phocoena,,Phocoenidae,Artiodactyla,52,145
191,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,52,145
192,Mus musculus,Mus,Murinae,Muridae,Rodentia,52,145
193,Phascolarctos cinereus,Phascolarctos,,Phascolarctidae,Diprotodontia,52,145
194,Pteropus giganteus,Pteropus,Pteropodinae,Pteropodidae,Chiroptera,52,145
195,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,51,145
196,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,51,145
197,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,50,145
198,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,50,145
