,species,genus,subfamily,family,order,Match,Maximum Possible
127,Pan paniscus,Pan,Homininae,Hominidae,Primates,117,257
128,Vulpes lagopus,Vulpes,,Canidae,Carnivora,117,257
129,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,117,257
130,Homo sapiens,Homo,Homininae,Hominidae,Primates,117,257
131,Pan troglodytes,Pan,Homininae,Hominidae,Primates,117,257
132,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,117,257
133,Vulpes vulpes,Vulpes,,Canidae,Carnivora,117,257
134,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,117,257
135,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,117,257
136,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,116,257
137,Ursus maritimus,Ursus,,Ursidae,Carnivora,116,257
138,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,116,257
139,Ursus americanus,Ursus,,Ursidae,Carnivora,116,257
140,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,116,257
141,Ursus arctos,Ursus,,Ursidae,Carnivora,116,257
142,Suricata suricatta,Suricata,,Herpestidae,Carnivora,115,257
143,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,115,257
144,Hylobates moloch,Hylobates,,Hylobatidae,Primates,115,257
145,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,115,257
146,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,115,257
147,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,115,257
148,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,115,257
149,Canis lupus familiaris,Canis,,Canidae,Carnivora,115,257
150,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,114,257
151,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,114,257
152,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,114,257
153,Pteropus giganteus,Pteropus,Pteropodinae,Pteropodidae,Chiroptera,114,257
154,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,114,257
155,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,114,257
156,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,114,257
157,Carlito syrichta,Carlito,,Tarsiidae,Primates,114,257
158,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,113,257
159,Eptesicus fuscus,Eptesicus,,Vespertilionidae,Chiroptera,113,257
160,Zalophus californianus,Zalophus,,Otariidae,Carnivora,113,257
161,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,113,257
162,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,113,257
163,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,113,257
164,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,113,257
165,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,113,257
166,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,113,257
167,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,113,257
168,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,112,257
169,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,112,257
170,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,112,257
171,Cavia porcellus,Cavia,,Caviidae,Rodentia,112,257
172,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,112,257
173,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,112,257
174,Otolemur garnettii,Otolemur,,Galagidae,Primates,111,257
175,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,111,257
176,Dasypus novemcinctus,Dasypus,,Dasypodidae,Cingulata,111,257
177,Trichechus manatus latirostris,Trichechus,,Trichechidae,Sirenia,111,257
178,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,111,257
179,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,111,257
180,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,111,257
181,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,110,257
182,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,110,257
183,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,110,257
184,Aotus nancymaae,Aotus,,Aotidae,Primates,110,257
185,Phocoena sinus,Phocoena,,Phocoenidae,Artiodactyla,108,257
186,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,107,257
187,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,107,257
188,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,106,257
189,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,106,257
190,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,106,257
191,Trichosurus vulpecula,Trichosurus,,Phalangeridae,Diprotodontia,105,257
192,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,105,257
193,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,104,257
194,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,104,257
195,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,104,257
196,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,104,257
197,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,104,257
