,species,genus,subfamily,family,order,Match,Maximum Possible
178,Octodon degus,Octodon,,Octodontidae,Rodentia,73,133
179,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,73,133
180,Otolemur garnettii,Otolemur,,Galagidae,Primates,73,133
181,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,73,133
182,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,73,133
183,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,73,133
184,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,73,133
185,Pteropus giganteus,Pteropus,Pteropodinae,Pteropodidae,Chiroptera,73,133
186,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,73,133
187,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,72,133
188,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,72,133
189,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,72,133
190,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,72,133
191,Sarcophilus harrisii,Sarcophilus,,Dasyuridae,Dasyuromorphia,72,133
192,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,72,133
193,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,71,133
194,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,71,133
195,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,71,133
196,Tachyglossus aculeatus,Tachyglossus,,Tachyglossidae,Monotremata,70,133
197,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,70,133
198,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,70,133
199,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,70,133
200,Echinops telfairi,Echinops,Tenrecinae,Tenrecidae,,69,133
201,Dromiciops gliroides,Dromiciops,,Microbiotheriidae,Microbiotheria,69,133
202,Carlito syrichta,Carlito,,Tarsiidae,Primates,69,133
203,Dasypus novemcinctus,Dasypus,,Dasypodidae,Cingulata,68,133
204,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,68,133
205,Ornithorhynchus anatinus,Ornithorhynchus,,Ornithorhynchidae,Monotremata,68,133
206,Vombatus ursinus,Vombatus,,Vombatidae,Diprotodontia,67,133
207,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,67,133
208,Cavia porcellus,Cavia,,Caviidae,Rodentia,65,133
209,Phascolarctos cinereus,Phascolarctos,,Phascolarctidae,Diprotodontia,64,133
210,Trichosurus vulpecula,Trichosurus,,Phalangeridae,Diprotodontia,63,133
