,species,genus,subfamily,family,order,Match,Maximum Possible
148,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,55,125
149,Gorilla gorilla gorilla,Gorilla,Homininae,Hominidae,Primates,55,125
150,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,55,125
151,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,55,125
152,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,55,125
153,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,55,125
154,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,55,125
155,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,55,125
156,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,55,125
157,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,54,125
158,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,54,125
159,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,54,125
160,Octodon degus,Octodon,,Octodontidae,Rodentia,54,125
161,Pongo pygmaeus,Pongo,Ponginae,Hominidae,Primates,54,125
162,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,54,125
163,Hylobates moloch,Hylobates,,Hylobatidae,Primates,54,125
164,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,54,125
165,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,54,125
166,Dromiciops gliroides,Dromiciops,,Microbiotheriidae,Microbiotheria,54,125
167,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,54,125
168,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,54,125
169,Symphalangus syndactylus,Symphalangus,,Hylobatidae,Primates,54,125
170,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,54,125
171,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,54,125
172,Aotus nancymaae,Aotus,,Aotidae,Primates,54,125
173,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,54,125
174,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,54,125
175,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,54,125
176,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,54,125
177,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,54,125
178,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,53,125
179,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,53,125
180,Pan troglodytes,Pan,Homininae,Hominidae,Primates,53,125
181,Phascolarctos cinereus,Phascolarctos,,Phascolarctidae,Diprotodontia,53,125
182,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,53,125
183,Otolemur garnettii,Otolemur,,Galagidae,Primates,53,125
184,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,53,125
185,Homo sapiens,Homo,Homininae,Hominidae,Primates,53,125
186,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,53,125
187,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,53,125
188,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,53,125
189,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,53,125
190,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,53,125
191,Pongo abelii,Pongo,Ponginae,Hominidae,Primates,53,125
192,Pan paniscus,Pan,Homininae,Hominidae,Primates,53,125
